Cyrilic Name, Phonetical Name
АЛБА ДАМАСЦЕНА МСК, Alba Damascena MSK
ЕК ЛУДА РАБОТА, EK Luda Rabota
СК БУЛДОК РОКЕТС, SK Bulldog Rockets
СК АФГ ТИМ, SK AFG Team
МСК ХАРД РАЙДЪРС, MSK Hard Riders
НК ЕНДУРО ВИКТОРИ, NK Enduro Victory
МСК ЕКСТРИЙМ ЕНДУРО КРУПН, MSK Extreme Enduro Krupn
МОТО ДРУЖИНА БАНСКО, Moto Druzhina Bansko
МСК ЕНДУРО ЕКСТРИЙМ БОТЕВ, MSK Enduro Extreme Botev
МСК ХАРД ЕНДУРО ПЛЕВЕН, MSK Hard Enduro Pleven
СК КЪРТАЧИТЕ, SK Kartachite
МСК ПРЕПАРАТОРИТЕ, MSK Preparatorite
ЕНДУРО КЛУБ СЕВТОПОЛИС, Enduro Club Sevtopolis
СМК РИДО САМОКОВ, SMK Rido Samokov
МСК БАВИЧКА РЕЙСИНГ, MSK Bavichka Racing
ЕНДУРО КЛУБ КОРНИЦА, Enduro Club Kornitsa
МСК - CBMOTO РЕЙСИНГ ТИЙМ, MSK - CBMOTO Racing Team
МСК ЕКС ЕНДУРО КЪРНАРЕ, MSK X Enduro Karnare
СК ЕКСТРИЙМ РЕЙСИНГ, SK Extreme Racing
МОТОЦИКЛЕТЕН КЛУБ БОЛЯРИ, Motocikleten Club Bolyari
СК УАЙЛД ЕКСТРИЙМ РЕЙСИНГ, SK Wild Extreme Racing
ЕК ГОЦЕ ДЕЛЧЕВ, EK Gotse Delchev
МСК ЕНДУРО КЮСТЕНДИЛ, MSK Enduro Kyustendil
КЛУБ "B&S RACING TEAM", Club "B&S Racing Team"
МСК НСА МОТОРСПОРТ, MSK NSA Motorsport
КРОС КЛУБ КИРКОВО, Cross Club Kirkovo
МСК ДЖИ АР СИ МОТОРСПОРТ, MSK JRC Motorsport
МСК ЕНДУРО ВАРНА, MSK Enduro Varna
ЕНДУРО КЛУБ ХАСКОВО, Enduro Club Haskovo
МСК РИСК ГАБРОВО, MSK Risk Gabrovo
МСК ЕНДУРО СЕВЛИЕВО, MSK Enduro Sevlievo
МСК АЕРОТЕХНИК БГ 2023 ЕОО, MSK Aerotechnik BG 2023 OOD
МСК ЕНДУРО - КЪРДЖАЛИ, MSK Enduro - Kardzhali
МСК БС РЕЙСИНГ ТИЙМ, MSK BS Racing Team